الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
التخمير	发酵	fermentation	fermentation	Ферментация	fermentacion
الفلذات غير الحديدية	有色金属	non-ferrous metals	metaux non ferreux	Цветные металлы	metales no ferrosos
مساهمات الميزانية	预算缴款	budget contributions	contributions budgetaires	Бюджетные взносы	contribuciones presupuestarias
التظاهرات العامة	公开示威	public demonstrations	manifestations publiques	Публичные демонстрации	manifestaciones de protesta
الطاوية	道教	taoism	taoisme	Даосизм	taoismo
الإصابة بمرض الدودة الصنارية (الأنكلستوما)	钩虫感染	hookworm infection	ankylostomiase	Анкилостомидозы	anquilostomiasis
الفلزات السائلة	液态金属	liquid metals	metaux liquides	Жидкие металлы	metales liquidos
المعاهدات	条约	treaties	traites	Международные договоры	tratados
المعدات السمعية البصرية	视听设备	audiovisual equipment	equipement audiovisuel	Аудиовизуальная аппаратура	equipo audiovisual
حقوق إطلاق الانبعاثات القابلة للتداول	可以转让的排放权	tradable emission entitlements	droits d'emission negociables	Переуступаемые права на выбросы	derechos negociables de emision
السكان المستقرون	稳定人口	stable population	population stable	Стабильное население	poblacion estable
أجهزة المسح	扫描器	scanners	scanneurs	Сканирующие устройства	exploradores (computadoras)
المنشورات الإلكترونية 	电子出版物	electronic publications	publications electroniques	Электронные издания	publicaciones electronicas
الكيمياء الصيدلانية	药物化学	pharmaceutical chemistry	chimie pharmaceutique	Фармацевтическая химия	quimica farmaceutica
التأمين ضد الأخطار النووية	核灾害险	nuclear hazards insurance	assurance risques nucleaires	Страхование ядерных рисков	seguro contra riesgos nucleares
الآداب	艺术	arts	arts	Искусство	artes
لغات الإسكيمو	爱斯基摩语	eskimo languages	langues esquimaudes	Эскимосско-алеутские языки	lenguas esquimales
العناصر الخارجية	外在性	externalities	externalites	Внешние эффекты	externalidades
اللاجئون النيكاراغويون	尼加拉瓜难民	nicaraguan refugees	refugies nicaraguayens	Никарагуанские беженцы	refugiados nicaraguenses
الرصد الصوتي المائي	水声监测	hydroacoustic monitoring	surveillance hydroacoustique	Гидроакустический мониторинг	vigilancia hidroacustica
الضريبة المحتبسة	预扣税款	withholding tax	imposition a la source	Налоговые удержания	impuesto retenido en la fuente
الرقابة الدولية للعقاقير	国际药物监测	international drug monitoring	pharmacovigilance internationale	Международный контроль над лекарствами	vigilancia farmacologica internacional
تكنولوجيا الاتصالات	通信技术	communication technology	technologie des communications	Техника связи	tecnologia de las comunicaciones
تعبئة المدخرات	储蓄调集	savings mobilization	mobilisation de l'epargne	Мобилизация сбережений	movilizacion de los ahorros
علم الصحافة	新闻工作	journalism	journalisme	Журналистика	periodismo
الشيكات الدولية	国际支票	international cheques	cheques internationaux	Туристские чеки	cheques internacionales
سواتل (مخصصة) للاتصال المباشر	卫星通信	satellite communication	communication par satellite	Спутниковая связь	comunicacion por satelites
تجليد الكتب	图书装订	bookbinding	reliure	Переплетное дело	encuadernacion
حيوانات المختبرات	实验室用动物	laboratory animals	animaux de laboratoire	Лабораторные животные	animales de laboratorio
الاستخراج الثانوي للنفط	二次采油	secondary recovery of oil	recuperation secondaire du petrole	Нефтедобыча вторичными методами	recuperacion secundaria de petroleo
مياه الشرب	饮水	drinking water	eau potable	Питьевая вода	agua potable
فقر الدم	贫血（症）	anaemia	anemie	Анемия	anemia
مصانع الأسمدة	肥料厂	fertilizer plants	usines d'engrais	Туковые предприятия	fabricas de fertilizantes
السخرة	强迫劳动	forced labour	travaux forces	Принудительный труд	trabajos forzados
العلاج المضاد للفيروسات القهقرية	抗逆转录病毒疗法 	antiretroviral therapy	therapie antiretrovirale	Антиретровирусная терапия	terapia antirretroviral
تخصيص التردد اللاسلكي	无线电频率分配	radio frequency allocation	attribution de radiofrequences	Назначение (присвоение) радиочастот	asignacion de radiofrecuencias
الستراتوسفير	平流层	stratosphere	stratosphere	Стратосфера	estratosfera
برمودا	百慕大	bermuda	bermudes	Бермудские острова	bermudas
اللاجئون التيبتيون	西藏难民	tibetan refugees	refugies tibetains	Тибетские беженцы	refugiados tibetanos
غينيا	几内亚	guinea	guinee	Гвинея	guinea
التونسيون	突尼斯人	tunisians	tunisiens	Тунисцы	tunecinos
وسائط نقل متحركة	运输车辆	rolling stock	materiel roulant	Подвижной состав	material rodante
السيشيليون	塞舌尔人	seychellois	seychellois	Сейшельцы	seychelenos
التكاليف	费用	costs	couts	Расходы	costos
الثروة	财富	wealth	richesse	Богатство	riqueza
عبء الإثبات	举证责任	burden of proof	charge de la preuve	Обязанность доказывания	carga de la prueba
منع الحمل لدى الإناث	女性避孕	female contraception	contraception feminine	Женская контрацепция	anticoncepcion femenina
البربر	柏柏尔人	berbers	berberes	Берберы	bereberes
فنون الرسوم التصويرية	图象艺术	graphic arts	arts graphiques	Графика	artes graficas
الإعادة إلى الوطن	遣返	repatriation	rapatriement	Репатриация	repatriacion
البريليوم	铍	beryllium	beryllium	Бериллий	berilio
مبدأ التناسب	相称性原则	proportionality	proportionnalite	Пропорциональность	proporcionalidad
استفتاءات الرأي العام	民意测验	public opinion polls	sondages d'opinion	Опросы общественного мнения	encuestas de la opinion publica
الأقاليم الخاضعة للإدارة الفرنسية	法管领土	territories under french administration	territoires administres par la france	Территории под французским управлением	territorios bajo administracion francesa
الحرب العالمية (1939-1945)	世界大战（1939-1945	world war (1939-1945)	guerre mondiale (1939-1945)	Мировая война (1939–1945 гг.)	guerra mundial (1939-1945)
القرنفل	康乃馨	carnations	oeillets	Гвоздики	claveles
الكوستاريكيون	哥斯达黎加人	costa ricans	costa-riciens	Костариканцы	costarricences
نوعية الحياة	生活素质	quality of life	qualite de la vie	Качество жизни	calidad de la vida
الأثر البيئي العابر للحدود	越境环境影响	transboundary environmental impact	impact transfrontiere sur l'environnement	Трансграничное экологическое воздействие	impacto ambiental transfronterizo
موظفو إقرار	核签人	approving officers	agents ordonnateurs	Утверждающие сотрудники	oficiales aprobadores
الأعلام	旗帜	flags	drapeaux	Флаги	banderas
مسألة أنغيلا	安圭拉问题	anguilla question	question d'anguilla	Вопрос об Ангилье	cuestion de anguila
البحرين	巴林	bahrain	bahrein	Бахрейн	bahrein
التجميد النووي	冻结核武器	nuclear freeze	gel des armements nucleaires	Замораживание ядерного оружия	congelacion de las armas nucleares
الحوادث البحرية	海损事故	marine accidents	accidents maritimes	Морские происшествия	accidentes maritimos
علم المناخ	气候学	climatology	climatologie	Климатология	climatologia
نقص الأغذية	粮食短缺	food shortage	penurie alimentaire	Нехватка продовольствия	escasez de alimentos
التعاون الدولي	国际合作	international cooperation	cooperation internationale	Международное сотрудничество	cooperacion internacional
القواعد البحرية	海军基地 	naval bases	bases navales	Военно-морские базы	bases navales
الملصقات	海报	posters	affiches	Плакаты	carteles
التوقيت الصيفي	夏令时间 	summer time	heure d'ete	Летнее время	hora de verano
الاقتصاد الماركسي	马克思经济学	marxian economics	economie marxiste	Марксистская экономическая теория	economia marxista
حصر الموارد	资源清单	resources inventories	inventaires des ressources	Кадастры ресурсов	inventarios de recursos
نظرية صف الانتظار	排队论	queuing theory	theorie de l'alignement	Теория массового обслуживания	teoria de la alineacion
إدارة قواعد المعلومات	数据库管理	database management	gestion de bases de donnees	Управление базами данных	gestion de bases de datos
الجوانب الثقافية	文化方面	cultural aspects	aspects culturels	Культурные аспекты	aspectos culturales
الأسلحة الصغيرة	小武器	small arms	armes de petit calibre	Легкое оружие	armas pequeÑas
دوال الإنتاج	生产函数	production functions	fonctions de production	Производственные функции	funciones de la produccion
القرارات	决议和决定	resolutions and decisions	resolutions et decisions	Резолюции и решения	resoluciones y decisiones
سندات ملكية الأراضي	土地产权	land titles	titres de propriete terrienne	Права собственности на землю	titulos de propiedad de la tierra
الأطفال الجنود	儿童兵	child soldiers	enfants soldats	Несовершеннолетние солдаты	niÑos soldados
الاتجار غير المشروع بالأسلحة	非法武器贩运	illicit arms trafficking	trafic illicite d'armes	Незаконный оборот оружия	trafico ilicito de armas
الحالة في كمبوديا	柬埔寨局势	cambodia situation	situation au cambodge	Положение в Камбодже	situacion en camboya
لوائح الشرطة	警察条例	police regulations	reglement de police	Полицейские правила	reglamentacion policial
الفورمالديهايد	甲醛	formaldehyde	formaldehyde	Формальдегид	formaldehido
الدول غير ساحلية	内陆国家	landlocked states	etats sans littoral	Государства, не имеющие выхода к морю	estados sin litoral
سجلات الأعمال التجارية	企业登记册	business registers	registres d'entreprises	Коммерческие регистры	registros comerciales
انخفاض الخصوبة	生育率下降	fertility decline	baisse de la fecondite	Сокращение рождаемости	baja de la fecundidad
القرن العشرون	二十世纪	twentieth century	vingtieme siecle	Двадцатый век	siglo xx
الرياضيون	运动员	athletes	athletes	Спортсмены	atletas
شهادة الزور	伪证罪	perjury	parjure	Лжесвидетельство	perjurio
المنتجعات الصحية	休养地	health resorts	stations thermales	Курорты	centros de salud
الزخائر	弹药	ammunition	munitions	Боеприпасы	municiones
الجغرافيا السياسية	政治地理	political geography	geographie politique	Политическая география	geografia politica
المستعمرات الفضائية	空间殖民地	space colonies	colonies spatiales	Космические поселения	colonias espaciales
الاختطاف	绑架	abduction	enlevement	Похищение человека	secuestro
نظرية السكان	人口理论	population theory	theorie de la population	Теория народонаселения	teoria de la poblacion
اتفاقات الاستثمار	投资协定	investment agreements	accords d'investissements	Инвестиционные соглашения	acuerdos de inversion
بحوث نزع السلاح	裁军研究	disarmament research	recherche sur le desarmement	Исследование проблем разоружения	investigacion sobre el desarme
المسح الجوي	航空勘测	aerial surveys	leves aeriens	Аэросъемка	levantamientos aereos
ساموا	萨摩亚	samoa	samoa	Самоа	samoa
الجنسية	国籍	nationality	nationalite	Гражданство	nacionalidad
إحصاءات الأسعار والكميات	价格和数量统计	price and quantity statistics	statistiques sur les prix et les quantites	Статистика цен и количества	estadisticas de precio y cantidad
المغرب	摩洛哥	morocco	maroc	Марокко	marruecos
الأصول الرأسمالية	资本资产	capital assets	immobilisations	Капитальные активы	activos de capital
الموظف الفني	专业工作人员	professional staff	administrateurs (onu)	Персонал категории специалистов	personal del cuadro organico
مشاريع الإسكان	住房项目	housing projects	ensembles d'habitation	Жилищные проекты	proyectos de vivienda
نشر الدوريات	期刊出版	periodicals publishing	publication de periodiques	Издание периодики	publicacion de publicaciones periodicas
تعليم ما قبل المدرسة	学前教育	preschool education	education prescolaire	Дошкольное образование	educacion preescolar
عقود الإيجار التجارية	商业租赁	commercial leases	baux commerciaux	Коммерческая аренда	arrendamientos comerciales
غلوتامات الصوديوم	谷氨酸钠	sodium glutamate	glutamate de sodium	Глутамат натрия	glutamato de sodio
زراعة الفاكهة	果树栽培	fruit culture	cultures fruitieres	Плодоводство	cultivos fruticolas
اللغة النرويجية	挪威语	norwegian language (nynorsk)	langue neonorvegienne	Норвержский язык (нюнорск)	lengua noruega (nynorsk)
القوة (أو القدرة) الجوية	空中力量	air power	force aerienne	Воздушная мощь	poderio aereo
معدات التحكم والعدادات في السيارات (أو المركبات)	机动车辆控制与显示	motor vehicle controls and displays	dispositifs de commande et de controle des vehicules a moteur	Контрольно-измерительные приборы и панели автотранспортных средств	controles y presentaciones de vehiculos automotores
تحليل متعدد المتغيرات	多元统计分析 	multivariate analysis	analyse multivariee	Многомерный анализ	analisis multivariado
الفلفل	胡椒粉	pepper	poivre	Перец	pimienta
اللغة الأورالية - ألطائية	乌拉尔-阿尔泰语	ural-altaic languages	langues ouralo-altaiques	Урало-алтайские языки	lenguas uralaltaicas
منتجات الغابات	林产品	forest products	produits forestiers	Лесная продукция	productos forestales
اللغة المنغولية	蒙古语	mongolian language	langue mongole	Монгольский язык	lengua mongol
الاعتقال بسبب مرض عقلي	以患有精神病为由而拘留	detention on grounds of mental illness	detention pour maladie mentale	Задержание на основании психического заболевания	detencion por enfermedad mental
معاهدات الضرائب	税务条约	tax treaties	traites fiscaux	Договоры по вопросам налогообложения	acuerdos fiscales
معايير الأداء	鉴定标准	performance standards	normes de rendement	Служебные нормативы	normas de rendimiento
النماذج الرياضية	数学模式	mathematical models	modeles mathematiques	Математические модели	modelos matematicos
غانا	加纳	ghana	ghana	Гана	ghana
الخصائص الوطنية	民族特点	national characteristics	caracteristiques nationales	Национальные черты	caracteristicas nacionales
منطقة الخليج الفارسي	波斯湾区域	persian gulf region	region du golfe persique	Регион Персидского залива	region del golfo persico
الاحتجاز الإداري	行政拘留	administrative detention	detention administrative	Административное задержание	detencion administrativa
التقاليد الشفهية	口述传统	oral traditions	traditions orales	Устная традиция	tradiciones orales
نيكاراغوا	尼加拉瓜	nicaragua	nicaragua	Никарагуа	nicaragua
أمراض العظام	骨疾病	bone diseases	maladies osseuses	Костные болезни	enfermedades de los huesos
التحقيقات الحكومية	政府调查	government investigations	enquetes des pouvoirs publics	Правительственные расследования	investigaciones gubernamentales
الانسكاب النفطي	漏油	oil spills	accidents petroliers	Разливы нефти	derrames de petroleo
معاملة السجناء	囚犯待遇	prisoner treatment	traitement des detenus	Обращение с заключенными	trato de presos
الإعلام الحكومي	政府信息	government information	information officielle	Государственные сведения	informacion oficial
استمرار حيازة واضع اليد	实际占领地保有权原则	uti possidetis	uti possidetis	uti possidetis	uti possidetis
آسيا الوسطى	中亚	central asia	asie centrale	Средняя Азия	asia central
الملاحون اللاجئون	难民海员	refugee seafarers	marins refugies	Беженцы-моряки	marinos refugiados
عائدات الضرائب	纳税申报	tax returns	declarations de revenus	Налоговые декларации	declaraciones de impuestos
أسماء النباتات	植物名称	plant names	noms des plantes	Названия растений	nombres de plantas
الفصل بين السلطات	权力分立	separation of powers	separation des pouvoirs	Разделение властей	separacion de poderes
هلام السيليكا	硅胶	silica gel	gel de silice	Силикагель	silice gelatinosa
قدرة الرياح	风力	wind power	energie eolienne	Ветровая энергия	energia eolica
الإحصائيون	统计员	statisticians	statisticiens	Статистики	estadisticos
المركبات الهيدروكربونية المكلورة	氯化碳氢化合物	chlorohydrocarbons	hydrocarbures chlores	Хлоруглеводороды	hidrocarburos clorados
الأيام الوطنية	国定纪念日	national days	journees nationales	Национальные дни	dias nacionales
برنامج العمل	工作方案	work programme	programme de travail	Программа работы	programa de trabajo
الأطالس	地图册	atlases	atlas	Атласы	atlas
الشوارع	街道	streets	rues	Улицы	calles
إزالة الألغام	排雷	mine clearance	deminage	Разминирование	desactivacion de minas
مسألة جزر كوكس (كيلنغ)	科科斯群岛问题	cocos (keeling) islands question	question des iles des cocos (keeling)	Вопрос о Кокосовых (Килинг) островах	cuestion de las islas cocos (keeling)
الملاغاسيون	马达加斯加人	malagasies	malgaches	Мадагаскарцы	malgaches
الصحراء الغربية	西撒哈拉	western sahara	sahara occidental	Западная Сахара	sahara occidental
التشيكوسلوفاكيون	捷克斯洛伐克人	czechoslovaks	tchecoslovaques	Чехословаки	checoslovacos
الإصلاحيات ضمن إطار المجتمع	以社区为基础的教管	community-based corrections	methodes correctives axees sur la communaute	Исправительные наказания по месту жительства	metodos correccionales basados en la comunidad
التحليل الإنحداري	回归分析	regression analysis	analyse de regression	Регрессионный анализ	analisis de regresion
الاقتصاد الإسلامي	伊斯兰经济	islamic economics	economie islamique	Исламская экономика	economia islamica
الاقتصاد الرياضي	数理经济学	mathematical economics	economie mathematique	Математическая экономика	economia matematica
الصراع الاجتماعي	社会冲突	social conflict	conflit social	Социальный конфликт	conflicto social
أمريكا الشمالية	北美	north america	amerique du nord	Северная Америка	america del norte
فوائد السلم	和平红利	peace dividend	dividende de la paix	Мирный дивиденд	dividendo de la paz
اللوائح الصحية الدولية	国际卫生条例	international health regulations	reglements sanitaires internationaux	Международные медико-санитарные правила	reglamentaciones sanitarias internacionales
النخيل	棕榈	palms	palmiers	Пальмы	palmeras
الأوبئة	流行病	epidemics	epidemies	Эпидемии	epidemias
القائمون بالرعاية	提供照料的人	caregivers	soignants	Лица, обеспечивающие уход	cuidadores
التخزين الزراعي	农产品贮存	agricultural storage	stockage des produits agricoles	Хранение сельскохозяйственной продукции	almacenamiento de productos agricolas
الألواح الليفية	纤维板	fibreboard	panneau de fibres	Древесноволокнистые плиты	tabla de fibras prensadas
تجارة التجزئة	零售业	retail trade	commerce de detail	Розничная торговля	comercio minorista
الهندسة	工程	engineering	ingenierie	Инженерное дело	ingenieria
الفهارس الموحدة	联合目录	union catalogues	catalogues collectifs	Сводные каталоги	catalogos centralizados
المنتجات النفطية	石油产品	petroleum products	produits petroliers	Нефтепродукты	productos del petroleo
المنظمات الدولية للسلع الأساسية	国际商品组织	international commodity organizations	organisations internationales des produits de base	Международные товарные организации	organizaciones internacionales de productos basicos
النهوض بحقوق الإنسان	促进人权发展	human rights advancement	promotion des droits de l'homme	Содействие правам человека	adelanto de los derechos humanos
البطالة التكنولوجية	技术性失业	technological unemployment	chomage technologique	Технологическая безработица	desempleo tecnologico
الفاكهة المدارية	热带水果	tropical fruits	fruits tropicaux	Тропические плодовые культуры	frutas tropicales
الإخطار (العلاقات الدولية)	通知	notification (international relations)	notification (relations internationales)	Нотификация (в международных отношениях)	notificacion (relaciones internacionales)
النفقات العامة	公共支出	public expenditures	depenses publiques	Государственные расходы	gastos publicos
العلاقات بين الشرق والجنوب	东南关系	east-south relations	relations est-sud	Отношения между Востоком и Югом	relaciones este-sur
القطران	焦油	tars	goudrons	Смолы	alquitranes
الدراسات الأوروبية	欧洲研究	european studies	etudes europeennes	Европеистика	estudios europeos
السيكوباربيتال	司可巴比妥	secobarbital	secobarbital	Секобарбитал	secobarbital
مسألة بيتكيرن	皮特凯恩问题	pitcairn question	question de pitcairn	Вопрос о Питкэрне	cuestion de pitcairn
المالثوسية	马尔萨斯主义	malthusianism	malthusianisme	Мальтузианство	maltusianismo
الأشخاص القانونيون	法人	juristic persons	personnes morales	Юридические лица	personas juridicas
صربيا	塞尔维亚	serbia	serbie	Сербия	serbia
الخدمات الاجتماعية	社会服务	social services	services sociaux	Социальное обслуживание	servicios sociales
التهجئة	拼法	orthography	orthographe	Орфография	ortografia
أسعار الذهب	金价	gold prices	prix de l'or	Цены на золото	precios del oro
المكنات الكهربائية	电气机械	electrical machinery	materiel electrique	Электрические машины	maquinaria electrica
الحضارة الإسلامية	伊斯兰文明	islamic civilization	civilisation islamique	Исламская цивилизация	civilizacion islamica
التحكيم التجاري الدولي	国际商业仲裁	international commercial arbitration	arbitrage commercial international	Международный торговый арбитраж	arbitraje comercial internacional
العلمانية	世俗主义	secularism	secularisme	Секуляризм	secularismo
العلامات التجارية	商标	trademarks	marques commerciales	Товарные знаки	marcas registradas
تسييل الفحم	煤的液化	coal liquefaction	liquefaction du charbon	Сжижение угля	licuefaccion del carbon
إشعاع غاما	伽玛辐射	gamma radiation	rayonnement gamma	Гамма-излучение	radiacion gamma
الملكية	所有权	ownership	possession	Собственность	posesion
البرامج السكانية	人口方案 	population programmes	programmes demographiques	Программы в области народонаселения	programas de poblacion
الارتفاق	地役权	easement	servitude	Право пользования землей	derecho de paso
السيزال	剑麻	sisal	sisal	Сизаль	sisal
اللغة الهندية	印度语	hindi language	langue hindi	Хинди	lengua hindi
الفلسفة الثقافية	文化哲学	cultural philosophy	philosophie culturelle	Культурная философия	filosofia cultural
إدارة الغابات	森林经营	forest management	gestion forestiere	Лесоустройство	administracion forestal
قانون حصانة الحياة الخاصة	保护隐私权的法律	privacy law	legislation sur la vie privee	Неприкосновенность частной жизни (правовое регулирование)	derecho de la intimidad
البورتوريكيون	波多黎各人	puerto ricans	porto-ricains	Пуэрториканцы	puertorriqueÑos
أحواض الأنهار	河流盆地	river basins	bassins fluviaux	Речные бассейны	cuencas fluviales
الملح الصخري	石盐	rock salt	sel gemme	Каменная соль	sal gema
رواد المستثمرين	先驱投资者	pioneer investors	investisseurs pionniers	Первоначальные вкладчики	primeros inversionistas
المعارض	展览	exhibitions	expositions	Выставки	exposiciones
القنبلة النيوترونية	中子弹	neutron bomb	bombe a neutrons	Нейтронная бомба	bomba de neutrones
الاتفاقات القطرية	联合国机构与项目国协议	country agreements	accords de pays	Соглашения со странами	acuerdos de paises
الجوانب الدينية	宗教方面	religious aspects	aspects religieux	Религиозные аспекты	aspectos religiosos
لاجئو أفريقيا الوسطى	中非难民	central african refugees	refugies de centrafrique	Беженцы из Центральноафриканской Республики	refugiados centroafricanos
البحوث العلمية البحرية	海洋科学研究	marine scientific research	recherche scientifique marine	Морские научные исследования	investigacion cientifica marina
الحلي الذهبية	首饰	jewellery	bijouterie	Ювелирные изделия	joyeria
نظم الدعم الأرضي	地面支助系统	ground support systems	systemes d'appui au sol	Системы наземного обеспечения	sistemas de apoyo terrestre
رأس المال	资本	capital	capital	Капитал	capital
المبصاريون	验光配镜师	optometrists	opticiens	Оптометристы	optometristas
إحصاءات استعمال الوقت	时间利用统计	time use statistics	statistiques de l'emploi du temps	Статистика затрат времени	estadisticas del uso del tiempo
الضوابط على رؤوس الأموال	资本管制	capital controls	controles de capitaux	Контроль над капиталом	control de capital
الإجهاض	人工流产	abortion	avortement	Аборт	aborto
الإنقاذ	救助	salvage	sauvetage	Спасание	salvamento
الإغراق	倾弃	dumping	dumping	Демпинг	dumping
بصمات الأصابع	指纹	fingerprints	dactyloscopie	Отпечатки пальцев	dactiloscopia
إحصاءات الزواج	婚姻统计	marriage statistics	statistiques sur les mariages	Статистика браков	estadisticas del matrimonio
علم البيئة الزراعي	农业生态	agricultural ecology	ecologie agricole	Агроэкология	ecologia agricola
الغرافيت	石墨	graphite	graphite	Графит	grafito
اقتطاعات إلزامية من مرتبات الموظفين	工作人员薪金税	staff assessment	contributions du personnel	Налогообложение персонала	contribuciones del personal
الملف الأستاذ	标准档	authority files	fichiers d'autorite	Авторитетные файлы	ficheros de autoridad
التصنيفات الإحصائية	统计分类	statistical classifications	classifications statistiques	Статистические классификации	clasificaciones estadisticas
الصحة العقلية	精神保健	mental health	sante mentale	Психическое здоровье	salud mental
الجوانب السياسية	政治方面	political aspects	aspects politiques	Политические аспекты	aspectos politicos
الجمرة الخبيثة	炭疽	anthrax	anthrax	Сибирская язва	carbunco
السياحة بدافع الجنس	性旅游	sex tourism	tourisme sexuel	Секс-туризм	turismo sexual
صيغ المخاطبة	称呼	forms of address	formules de politesse	Формы обращения	formulas de cortesia
موظفو البيع	销售人员	sales personnel	personnel de vente	Работники торговли	personal de ventas
الغابونيون	加蓬人	gabonese	gabonais	Габонцы	gaboneses
التجسس	间谍活动	espionage	espionnage	Шпионаж	espionaje
الهيكل التنظيمي	组织结构	organizational structure	structure organisationnelle	Организационная структура	estructura de organizacion
التخطيط الصناعي	工业规划	industrial planning	planification industrielle	Промышленное планирование	planificacion industrial
كرواتيا	克罗地亚	croatia	croatie	Хорватия	croacia
الهيليوم	氦气	helium	helium	Гелий	helio
الأرامل	寡妇	widows	veuves	Вдовы	viudas
الماس الممول للصراعات	冲突钻石	conflict diamonds	diamants du sang	Конфликтные алмазы	diamantes de zonas en conflicto
الرأي العام	民意	public opinion	opinion publique	Общественное мнение	opinion publica
المنتجات الحيوانية	动物产品	animal products	produits d'origine animale	Животноводческая продукция	productos animales
استقصاءات الحياة الأسرية	家庭生活调查	family life surveys	enquetes sur la vie familiale	Обследования по вопросам семейной жизни	encuestas sobre la vida familiar
ااسواتل المخصصة لإرسال الطاقة الشمسية	太阳能卫星	solar power satellites	satellites d'energie solaire	Спутниковые солнечные электростанции	satelites de energia solar
اللغة التغالوغية	他加禄语	tagalog language	langue tagale	Тагальский язык	lengua tagala
اللجوء السياسي	外交庇护	diplomatic asylum	asile diplomatique	Дипломатическое убежище	asilo diplomatico
تسريح الموظفين	辞退职员	employee dismissal	licenciement	Увольнение по инициативе работодателя	despido
أرقام التخطيط الإرشادية	指示性规划数字	indicative planning figures	chiffres indicatifs de planification	Ориентировочные плановые задания	cifras indicativas de planificacion
الأسابيع الدولية	国际周	international weeks	semaines internationales	Международные недели	semanas internacionales
التطبيقات الطبية	医疗申请	medical applications	applications medicales	Медицинское применение	aplicaciones medicas
حرية المشاركة	结社自由	freedom of association	liberte d'association	Свобода ассоциации	libertad de asociacion
التوليد المشترك للطاقة	废热发电	cogeneration	cogeneration	Теплоэлектроцентрали	generacion combinada
التحويل المباشر للطاقة	直接能量转换	direct energy conversion	conversion directe de l'energie	Прямое преобразование энергии	conversion directa de energia
الناتج القومي الإجمالي	国民生产总值	gross national product	produit national brut	Валовой национальный продукт	producto nacional bruto
الإشارات والرموز	符号和象征	signs and symbols	signes et symboles	Знаки и символы	signos y simbolos
موريشيوس	毛里求斯	mauritius	maurice	Маврикий	mauricio
الإحصاءات	统计学	statistics	statistiques	Статистика	estadistica
الحق في التعلم	受教育的权利	right to education	droit a l'education	Право на образование	derecho a la educacion
منحة الوفاة	死亡抚恤金	death grant	capital deces	Пособие в связи со смертью	prestaciones en caso de fallecimiento
حكومة الولاية	州政府	state government	gouvernement etatique ou provincial	Органы государственной власти в штате (провинции и т. п.)	gobierno estatal
اللغة اللاَوية	老挝语	lao language	langue lao	Лаосский язык	lengua lao
الترميز الجغرافي	地理编码	geocoding	geocodage	Геокодирование	geocodificacion
المقابر الجماعية	千人冢	mass graves	fosses communes	Массовые захоронения	fosas comunes
الدفاع عن النفس (القانون الدولي)	自卫（国际法）	self-defence (international law)	legitime defense (droit international)	Самооборона (в международном праве)	legitima defensa (derecho internacional)
المضائق المستخدمة للملاحة الدولية	用于国际航行的海峡	straits used for international navigation	detroits servant a la navigation internationale	Проливы, используемые для международного судоходства	estrechos utilizados para la navegacion internacional
الاعتراف	供认	confession	aveu	Признание (вины)	reconocimiento de culpabilidad
الخرائط الطبوغرافية	地形图	topographic maps	cartes topographiques	Топографические карты	mapas topograficos
التاريخ المروي شفوياً	口述历史	oral history	histoire orale	Изустная история	historia oral
الطباعة	印刷	printing	imprimerie	Полиграфия	imprenta
سياسة السياحة	旅游业政策	tourism policy	politique touristique	Политика в области туризма	politica turistica
الاندماج النووي	核聚变	nuclear fusion	fusion nucleaire	Ядерный синтез	fusion nuclear
اختطاف الطائرات	劫持飞机	hijacking of aircraft	detournement d'aeronefs	Угон судов воздушного транспорта	secuestro de aeronaves
حل المشاكل	解决问题	problem solving	resolution de problemes	Решение проблем	solucion de problemas
سوق الإسكان	住房市场	housing market	marche du logement	Рынок жилья	mercado de la vivienda
المنافسة	竞争	competition	concurrence	Конкуренция	competencia
معاهد التدريب والبحث	训练和研究机构	training and research institutions	instituts de formation et de recherche	Учебные и исследовательские учреждения	instituciones de capacitacion e investigacion
الزيوت النباتية	植物油	vegetable oils	huiles vegetales	Растительные масла	aceites vegetales
لغة التبت	藏语	tibetan language	langue tibetaine	Тибетский язык	lengua tibetana
الأستراليون	澳大利亚人	australians	australiens	Австралийцы	australianos
التلويث أو التلوث مشع	辐射污染	radioactive contamination	contamination radioactive	Радиоактивное заражение	contaminacion radiactiva
الحراك المهني	职业流动	occupational mobility	mobilite professionnelle	Профессиональная мобильность	movilidad profesional
المذيبات	溶剂	solvents	solvants	Растворители	disolventes
البنزين	苯	benzene	benzene	Бензол	benceno
مشاريع النقل	运输项目	transport projects	projets de transport	Проекты в области транспорта	proyectos de transporte
إحصاءات السياحة	旅游业统计	tourism statistics	statistiques du tourisme	Статистика туризма	estadisticas de turismo
الجغرافيا العسكرية	军事地理	military geography	geographie militaire	Военная география	geografia militar
عقد الإيجار	租赁	leases	baux	Аренда	arrendamientos
القانون القسري	绝对法	jus cogens	jus cogens	jus cogens	jus cogens
اللغات الوطنية	国语	national languages	langues nationales	Государственные языки	lenguas nacionales
إنتاج الأغذية	粮食生产	food production	production alimentaire	Производство пищевых продуктов	produccion alimentaria
الكرسي الرسولي	教廷	holy see	saint-siege	Святейший Престол	santa sede
الخدمة العسكرية	兵役	military service	service militaire	Военная служба	servicio militar
عمال البحر	海运工人	maritime workers	travailleurs maritimes	Работники морского хозяйства	trabajadores maritimos
